Time [s], Analyzer Name, Decoded Protocol Result
1.003815000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.003815000000000,Manchester hex,0xFE440F3C
1.027700000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.027700000000000,Manchester hex,0xFE440F3C
1.051585000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.051585000000000,Manchester hex,0xFE440F3C
1.075470000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.075470000000000,Manchester hex,0xFE440F3C
1.099355000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.099355000000000,Manchester hex,0xFE440F3C
1.123240000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.123240000000000,Manchester hex,0xFE440F3C
1.147125000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.147125000000000,Manchester hex,0xFE440F3C
1.171015000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.171015000000000,Manchester hex,0xFE440F3C
1.194895000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.194895000000000,Manchester hex,0xFE440F3C
1.218770000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.218770000000000,Manchester hex,0xFE440F3C
1.242660000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.242660000000000,Manchester hex,0xFE440F3C
1.266545000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.266545000000000,Manchester hex,0xFE440F3C
1.290425000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.290425000000000,Manchester hex,0xFE440F3C
1.314310000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.314310000000000,Manchester hex,0xFE440F3C
1.338190000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.338190000000000,Manchester hex,0xFE440F3C
1.362075000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.362075000000000,Manchester hex,0xFE440F3C
1.385960000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.385960000000000,Manchester hex,0xFE440F3C
1.409845000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.409845000000000,Manchester hex,0xFE440F3C
1.433730000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.433730000000000,Manchester hex,0xFE440F3C
1.457615000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.457615000000000,Manchester hex,0xFE440F3C
1.481505000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.481505000000000,Manchester hex,0xFE440F3C
1.505385000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.505385000000000,Manchester hex,0xFE440F3C
1.529265000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.529265000000000,Manchester hex,0xFE440F3C
1.553150000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.553150000000000,Manchester hex,0xFE440F3C
1.577035000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.577035000000000,Manchester hex,0xFE440F3C
1.600915000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.600915000000000,Manchester hex,0xFE440F3C
1.624795000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.624795000000000,Manchester hex,0xFE440F3C
1.648680000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.648680000000000,Manchester hex,0xFE440F3C
1.672560000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.672560000000000,Manchester hex,0xFE440F3C
1.696440000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.696440000000000,Manchester hex,0xFE440F3C
1.720325000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.720325000000000,Manchester hex,0xFE440F3C
1.744210000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.744210000000000,Manchester hex,0xFE440F3C
1.768095000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.768095000000000,Manchester hex,0xFE440F3C
1.791980000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.791980000000000,Manchester hex,0xFE440F3C
1.815870000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.815870000000000,Manchester hex,0xFE440F3C
1.839755000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.839755000000000,Manchester hex,0xFE440F3C
1.863635000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.863635000000000,Manchester hex,0xFE440F3C
1.887520000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.887520000000000,Manchester hex,0xFE440F3C
1.911405000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
1.911405000000000,Manchester hex,0xFE440F3C
1.935285000000000,Manchester binary,0b  1111  1110  0100  0100  0000  1111  0011  1100
